Name,Weight,Height,PPG (Points per game),RPG (Rebound per game),APG (Assists per game),PIE (Player Impact Estimate)
Jalen Pickett,202 lb,"6'2""",3.3,1.2,1.9,8.8
Jamal Murray,215 lb,"6'4""",21,3.9,6.1,10.8
DeAndre Jordan,265 lb,"6'11""",3.5,4.7,0.9,11.4
Peyton Watson,200 lb,"6'7""",8.1,3.4,1.5,7
Aaron Gordon,235 lb,"6'8""",12.1,4.8,3.2,9.7
Mike Conley,175 lb,"6'0""",8.2,2.7,4.6,9.2
Rudy Gobert,258 lb,"7'1""",11,10.4,1.8,11.8
Donte DiVincenzo,203 lb,"6'4""",11,3.7,3.6,9.4
Joe Ingles,220 lb,"6'8""",0.9,0.7,1.3,4
Anthony Edwards,225 lb,"6'4""",27.5,5.8,4.5,13.8
Jalen Williams,211 lb,"6'5""",21,5.5,5.1,13.7
Kenrich Williams,210 lb,"6'6""",6,3.3,1.2,10.4
Aaron Wiggins,190 lb,"6'5""",10.9,3.7,1.6,10.5
Chet Holmgren,208 lb,"7'1""",14.7,8.5,1.8,13.9
Shai Gilgeous-Alexander,195 lb,"6'6""",32.5,5.1,6.1,20.5
Deandre Ayton,252 lb,"7'0""",14.4,10.2,1.6,12.5
Jerami Grant,210 lb,"6'7""",14.7,3.3,2.2,7.1
Shaedon Sharpe,208 lb,"6'5""",17.1,3.8,2.5,9.3
Deni Avdija,240 lb,"6'9""",14.5,6.3,3.4,11.2
Kris Murray,216 lb,"6'8""",4.1,2.2,0.9,6.4
Keyonte George,185 lb,"6'4""",16.4,3.6,6,9.1
Svi Mykhailiuk,205 lb,"6'7""",9.8,2.5,1.7,7.2
Lauri Markkanen,240 lb,"7'0""",19.6,6.1,1.6,10.7
John Collins,226 lb,"6'9""",18.1,8.2,2.1,12.7
Taylor Hendricks,215 lb,"6'9""",4.7,5,0.7,3.6